Id,Id2,Geography,Median
1500000US130890220093,130890220093,"Block Group 3, Census Tract 220.09, DeKalb County, Georgia",33438
1500000US130890220101,130890220101,"Block Group 1, Census Tract 220.10, DeKalb County, Georgia",41538
1500000US130890221001,130890221001,"Block Group 1, Census Tract 221, DeKalb County, Georgia",35517
1500000US130890221002,130890221002,"Block Group 2, Census Tract 221, DeKalb County, Georgia",31597
1500000US130890222031,130890222031,"Block Group 1, Census Tract 222.03, DeKalb County, Georgia",47026
1500000US130890222041,130890222041,"Block Group 1, Census Tract 222.04, DeKalb County, Georgia",41063
1500000US130890222042,130890222042,"Block Group 2, Census Tract 222.04, DeKalb County, Georgia",49268
1500000US130890222043,130890222043,"Block Group 3, Census Tract 222.04, DeKalb County, Georgia",42328
1500000US130890222044,130890222044,"Block Group 4, Census Tract 222.04, DeKalb County, Georgia",33682
1500000US130890223011,130890223011,"Block Group 1, Census Tract 223.01, DeKalb County, Georgia",65962
1500000US130890223012,130890223012,"Block Group 2, Census Tract 223.01, DeKalb County, Georgia",20529
1500000US130890223013,130890223013,"Block Group 3, Census Tract 223.01, DeKalb County, Georgia",69818
1500000US130890223014,130890223014,"Block Group 4, Census Tract 223.01, DeKalb County, Georgia",111563
1500000US130890223015,130890223015,"Block Group 5, Census Tract 223.01, DeKalb County, Georgia",31042
1500000US130890223021,130890223021,"Block Group 1, Census Tract 223.02, DeKalb County, Georgia",81923
1500000US130890223022,130890223022,"Block Group 2, Census Tract 223.02, DeKalb County, Georgia",41576
1500000US130890223023,130890223023,"Block Group 3, Census Tract 223.02, DeKalb County, Georgia",71484
1500000US130890224011,130890224011,"Block Group 1, Census Tract 224.01, DeKalb County, Georgia",61875
1500000US130890224013,130890224013,"Block Group 3, Census Tract 224.01, DeKalb County, Georgia",122083
1500000US130890224021,130890224021,"Block Group 1, Census Tract 224.02, DeKalb County, Georgia",46645
1500000US130890224022,130890224022,"Block Group 2, Census Tract 224.02, DeKalb County, Georgia",30677
1500000US130890224031,130890224031,"Block Group 1, Census Tract 224.03, DeKalb County, Georgia",145781
1500000US130890224032,130890224032,"Block Group 2, Census Tract 224.03, DeKalb County, Georgia",115375
1500000US130890224033,130890224033,"Block Group 3, Census Tract 224.03, DeKalb County, Georgia",161250
1500000US130890225001,130890225001,"Block Group 1, Census Tract 225, DeKalb County, Georgia",15042
1500000US130890225002,130890225002,"Block Group 2, Census Tract 225, DeKalb County, Georgia",108833
1500000US130890225003,130890225003,"Block Group 3, Census Tract 225, DeKalb County, Georgia",116250
1500000US130890225004,130890225004,"Block Group 4, Census Tract 225, DeKalb County, Georgia",111944
1500000US130890226001,130890226001,"Block Group 1, Census Tract 226, DeKalb County, Georgia",105300
1500000US130890226002,130890226002,"Block Group 2, Census Tract 226, DeKalb County, Georgia",65784
1500000US130890226003,130890226003,"Block Group 3, Census Tract 226, DeKalb County, Georgia",70345
1500000US130890227001,130890227001,"Block Group 1, Census Tract 227, DeKalb County, Georgia",113370
1500000US130890227002,130890227002,"Block Group 2, Census Tract 227, DeKalb County, Georgia",96094
1500000US130890227003,130890227003,"Block Group 3, Census Tract 227, DeKalb County, Georgia",59318
1500000US130890228001,130890228001,"Block Group 1, Census Tract 228, DeKalb County, Georgia",86136
1500000US130890228002,130890228002,"Block Group 2, Census Tract 228, DeKalb County, Georgia",88500
1500000US130890228003,130890228003,"Block Group 3, Census Tract 228, DeKalb County, Georgia",109028
1500000US130890229001,130890229001,"Block Group 1, Census Tract 229, DeKalb County, Georgia",70771
1500000US130890229002,130890229002,"Block Group 2, Census Tract 229, DeKalb County, Georgia",74750
1500000US130890229003,130890229003,"Block Group 3, Census Tract 229, DeKalb County, Georgia",65385
1500000US130890230001,130890230001,"Block Group 1, Census Tract 230, DeKalb County, Georgia",61979
1500000US130890231011,130890231011,"Block Group 1, Census Tract 231.01, DeKalb County, Georgia",69306
1500000US130890231012,130890231012,"Block Group 2, Census Tract 231.01, DeKalb County, Georgia",36691
1500000US130890231013,130890231013,"Block Group 3, Census Tract 231.01, DeKalb County, Georgia",45667
